Read_ID	Read_Length	Aligned_contig	Align_Length	Identity	match	mismatch	insertions	deletions	softclip	hardclip	intron_skip
e3146316-2843-4b73-9edb-866e5d2ae446	640	chr2	621	0.9792663476874003	614	0	6	7	20	0	0
80f72852-b79e-43cb-b3db-480bf307ecb9	1359	chr2	1279	0.9875389408099688	1268	10	5	1	76	0	21325
c4475973-8620-474f-9344-140ee2192100	413	chr2	417	0.9784172661870504	408	0	0	9	5	0	0
c73fe41c-4844-4380-be81-3d3066336e02	1377	chr2	1368	0.9956172388604821	1363	2	1	3	11	0	32987
6373e4ae-7638-429f-8551-d04895ea7b05	651	chr2	616	0.9774193548387097	606	5	4	5	36	0	14434
4f9dad67-05d7-4e42-a1db-54e301939e5a	266	chr2	226	0.9911894273127754	225	0	1	1	40	0	0
0405763a-e1c4-4efc-9beb-183e84f0df72	1575	chr2	1534	0.9921976592977894	1526	3	4	5	42	0	37622
9f1c454e-4ba3-485e-8fc0-544ae9d1182a	527	chr2	518	0.9809160305343512	514	2	6	2	5	0	0
98e49ec8-24f2-4c99-9a98-5350265b2f7e	835	chr2	806	0.9987608426270136	806	0	1	0	28	0	19706
626e85cf-6ff8-4fb5-bc44-97e71a319f7a	1299	chr2	1275	0.9811912225705329	1252	1	1	22	45	0	0
d720a01f-fd44-4088-9823-1a05058ac579	657	chr2	664	0.9879518072289156	656	0	0	8	1	0	1642
6841d623-b0be-4bf6-bb4a-c7ff182ea73c	2619	chr2	2624	0.9893536121673003	2602	10	6	12	1	0	0
ccd95009-f106-47ce-997f-fef7b9be0a11	741	chr2	691	0.9884393063583815	684	4	1	3	52	0	0
ede1c8f0-6ca8-4297-a5be-73ea2a6ee0de	270	chr2	220	0.7511111111111111	169	13	5	38	83	0	0
66086908-c570-4930-9cb3-22f559f609cf	1297	chr2	1293	0.99153194765204	1288	1	6	4	2	0	42
c57d95bc-3a48-467c-ad2c-63b7c8ec117b	295	chr2	290	0.9828178694158075	286	4	1	0	4	0	0
a46c2689-bd6d-4344-8424-56f7cd02c424	171	chr2	92	1.0	92	0	0	0	79	0	0
6d270aa6-eaf7-4a70-9e9e-0b66f945800e	2243	chr2	2263	0.9749119718309859	2215	9	9	39	10	0	17469
633bb506-dd79-4ab3-91f9-facb6a183d74	1760	chr2	1707	0.991812865497076	1696	10	3	1	51	0	0
b95e0a8a-42a5-4804-952c-b8caae357b19	2200	chr2	2150	0.9962807996280799	2143	3	1	4	53	0	17469
8dee7c1e-7faa-4ca5-b090-5de07bba45e6	1379	chr2	1382	0.9898916967509025	1371	5	3	6	0	0	17469
197de3d0-ec08-46ae-8ff8-9437fbec62b3	4933	chr2	4948	0.9824843970203342	4880	34	19	34	0	0	45317
cb6946a6-959a-442e-a29d-f84932d8d2b7	3490	chr2	3496	0.9814603536794068	3441	18	10	37	21	0	45317
2e7278a4-8a9f-48fb-86a3-58716e4ae483	2205	chr2	2217	0.9619516562220233	2149	24	17	44	15	0	45317
