Read_ID	Read_Length	Aligned_contig	Align_Length	Identity	match	mismatch	insertions	deletions	softclip	hardclip	intron_skip
e3146316-2843-4b73-9edb-866e5d2ae446	641	chr2	621	0.9745222929936306	612	4	7	5	18	0	0
948aa661-2063-43b7-941d-001caef865b5	1553	chr2	1548	0.9871216999356085	1533	6	5	9	9	0	37622
38800b09-2f6e-423b-be77-4431c3e12999	534	chr2	536	0.9906716417910447	531	1	0	4	2	0	0
7c67204e-cc7d-4f21-b01d-bc52e75be1a7	912	chr2	915	0.9923497267759562	908	4	0	3	0	0	17381
eb8e4f46-f527-4ea2-93a5-d00a688644ac	2885	chr2	2888	0.9446164430684555	2746	40	19	102	80	0	15321
77c07b0e-6fa2-4d52-9080-62d2ada12fc8	1629	chr2	1570	0.982367758186398	1560	6	18	4	45	0	37622
7bf88c5b-cdaa-4516-9165-053a84f2a837	1637	chr2	1564	0.9834289356277884	1543	11	5	10	78	0	37622
d3b96532-4f99-491e-b68a-976d601d5cd0	1686	chr2	1606	0.9703337453646477	1570	3	12	33	101	0	15321
2e8609ef-0b89-4126-838e-54a0b1906d2a	441	chr2	330	0.9939759036144579	330	0	2	0	109	0	14234
626e85cf-6ff8-4fb5-bc44-97e71a319f7a	1330	chr2	1273	0.9835164835164835	1253	2	1	18	74	0	0
d2205c5f-c171-434d-afe7-3e06592bf181	1225	chr2	1230	0.9886363636363636	1218	5	2	7	0	0	5840
642c9ffd-c055-423c-89b4-7f92e0bfb64b	1415	chr2	1397	0.9836415362731152	1383	4	9	10	19	0	0
c5fcd76d-9fbd-421c-91f9-4dd7cf0256fc	1721	chr2	1479	0.8157040882543802	1257	88	62	134	314	0	0
6789eb25-5923-4c7f-981d-be4774e2c00d	3431	chr2	3430	0.9898226228554813	3404	13	9	13	5	0	38
5bac9a2d-fd71-4254-94c2-bff5147e1146	1267	chr2	1184	0.982367758186398	1170	1	7	13	89	0	0
8c700472-9807-4b88-9ae6-971806a04cf2	223	chr2	215	1.0	215	0	0	0	8	0	0
b858e2b3-38af-4b74-aa76-8cd5f06a7b09	360	chr2	355	0.96398891966759	348	4	6	3	2	0	0
daf2c66d-40ac-4607-a492-8f54402405a0	370	chr2	309	0.9838709677419355	305	2	1	2	62	0	0
9dab9160-78bd-4d86-b17a-95524fa24899	2295	chr2	2317	0.9806451612903225	2280	7	8	30	0	0	17469
389b7d7b-34f8-4507-b99a-6c0b6ab4c439	2256	chr2	2159	0.9829335793357934	2131	19	9	9	97	0	0
a29264a6-3a30-48e5-b285-857e2cf2b788	4942	chr2	4961	0.9847113256889962	4895	26	10	40	11	0	45317
58370058-68ec-4acb-b416-6bf79c6dcb03	1246	chr2	1169	0.9897348160821214	1157	5	0	7	84	0	13273
51d1cf5f-de06-4bed-9835-331fffec9230	4997	chr2	5032	0.9551357733175915	4854	67	50	111	26	0	45197
7f032108-9592-40b2-a8d6-2eb67985e197	2118	chr2	2064	0.9830836152730787	2034	10	5	20	69	0	45317
dfe14f56-c29c-4ba2-a0d3-60c3f665e67f	893	chr2	895	0.9888517279821628	887	4	2	4	0	0	0
75540067-bb3e-41a4-8550-71da90ce0a48	1187	chr2	1180	0.984873949579832	1172	5	10	3	0	0	8255
98df6a80-4c19-4f77-b723-7ee52a72c5fd	1509	chr2	1409	0.9872521246458924	1394	9	3	6	103	0	0
23bca749-e11e-406e-819b-a41fc3c1a1c2	541	chr2	532	0.9664179104477612	518	4	4	10	15	0	0
dc92ac9a-d4ad-4f8b-979d-ec759d792300	2117	chr2	2094	0.9805225653206651	2064	16	11	14	26	0	0
e7428272-cd88-4187-ada3-43695e12ee23	1458	chr2	1449	0.9863201094391245	1442	3	13	4	0	0	0
0ef2de29-39e4-451a-9295-171d0e9c90d6	826	chr2	822	0.9842041312272175	810	8	1	4	7	0	0
4c980956-cad6-41f2-a349-68e6bb58b622	562	chr2	502	0.9761904761904762	492	9	2	1	59	0	0
e48e2c92-3e6a-4459-b068-19bccbfe3708	436	chr2	378	0.9947229551451188	377	1	1	0	57	0	0
56f73714-4cfb-44f4-b62d-18fcfda34185	241	chr2	245	0.9795918367346939	240	0	0	5	1	0	0
16464045-1176-452b-a5db-7dda4a7f59ef	441	chr2	369	0.994579945799458	367	0	0	2	74	0	0
f7694f2a-d6e5-4215-a736-74819017cf49	451	chr2	445	0.9887892376681614	441	1	1	3	8	0	0
021015dd-eeed-47f1-a3cb-4f8854de6d49	4057	chr2	4027	0.9873731121564744	3988	18	12	21	39	0	29827
44644102-42d8-4ed3-b65d-5b8da3d3bb18	4046	chr2	4020	0.9866402770905492	3988	14	22	18	22	0	29827
6e36b3ab-d406-4ddd-9c40-57971393b2b4	4003	chr2	4011	0.986806074184715	3964	27	6	20	6	0	29827
6e6439c1-ca45-48e8-ad36-a0a06de5723f	4025	chr2	4003	0.9830592924763328	3946	34	11	23	34	0	29827
56f34f85-e39b-4495-bd83-72f4adc0ed2c	4010	chr2	3993	0.986753311672082	3948	22	8	23	32	0	29827
e167112c-515c-468b-83c1-53e3aad20967	4715	chr2	4686	0.9828280686877252	4636	22	31	28	26	0	29975
836bc4d4-413f-463c-ba7b-8ccff1e5c073	3780	chr2	3774	0.9823358818876878	3726	32	19	16	3	0	25487
ba9c89fb-8f85-470e-861f-78acdea5d828	3675	chr2	3658	0.9877317339149401	3623	14	10	21	28	0	25487
23c8947d-bf03-46f9-9468-d4bb4bcd2e03	3333	chr2	3332	0.9880346993718218	3303	16	11	13	3	0	22081
ab65d8aa-cf6e-48bd-bb17-9866f2752380	3027	chr2	3023	0.9816091954022989	2989	13	22	21	3	0	21346
c15bc763-92c6-4d14-a2a0-c3b22c4c7dc6	2716	chr2	2705	0.9889380530973452	2682	9	7	14	18	0	15570
4787abb0-a440-4b07-b716-765247b1e495	2515	chr2	2510	0.9904724096863835	2495	5	9	10	6	0	14359
bc8f3a6e-aa00-4fdc-ba8a-0a6f631a73f5	2287	chr2	2255	0.9703408587870739	2192	17	4	46	74	0	9568
24e05ffd-c3cf-4969-baa2-9ae40d522940	2022	chr2	2026	0.971990171990172	1978	29	9	19	6	0	5493
4f175a06-60dc-4a3f-b176-7935c0660bda	1501	chr2	1507	0.9814446653412856	1481	18	2	8	0	0	1834
5578658e-fd3a-4ca8-b705-791585aa6aca	1612	chr2	1576	0.9792322215229704	1556	9	13	11	34	0	1031
b1618f7c-a9ec-4cd0-a378-d81765d33eb5	1471	chr2	1469	0.979011509817197	1446	10	8	13	7	0	1031
ee852a62-c476-4ac9-95db-65ab200c4a72	1414	chr2	1400	0.9598025387870239	1361	13	18	26	22	0	0
61ee6e4a-e85d-448d-ac7f-0411249703c5	905	chr2	869	0.9770378874856487	851	9	2	9	43	0	0
be45a049-0801-4f61-bd1f-a2a9874da356	888	chr2	868	0.9839080459770115	856	6	2	6	24	0	0
c9faa2f1-896b-4630-9b05-a3ebbac80e7e	766	chr2	749	0.9906790945406125	744	3	2	2	17	0	0
c638ebd8-a5aa-4df7-97a2-efdf95e9cc37	646	chr2	631	0.9810725552050473	622	3	3	6	18	0	0
d9f5b905-7be7-4774-8cab-808a099e7321	838	chr2	815	0.9733009708737864	802	9	9	4	18	0	0
4e1855e4-60f0-45a9-aff7-e7b8aa4cf660	1545	chr2	1531	0.9791530944625407	1503	13	4	15	25	0	0
54de867d-5e74-43d8-8213-86137c16014f	505	chr2	491	0.9717741935483871	482	8	5	1	10	0	0
cb914c5c-b10b-44f8-9419-49c8ae669fb7	338	chr2	324	0.9969230769230769	324	0	1	0	13	0	0
725d27bf-84ca-4081-afb8-9ebc98ec0ab8	248	chr2	220	0.9506726457399103	212	0	3	8	33	0	0
df5ead72-fc15-4340-9941-85c7838d5957	263	chr2	200	1.0	200	0	0	0	63	0	0
7133be49-102a-415d-bd7a-256ecd4904f7	2092	chr2	1985	0.9674395658608781	1961	4	42	20	85	0	0
cf09f8f6-a43c-4f23-99a5-c52baa7a4ad3	839	chr2	839	0.9833333333333333	826	8	1	5	4	0	0
374ef5a8-ecc5-489e-a306-cfd20f5b5785	505	chr2	505	0.980276134122288	497	4	2	4	2	0	0
a817f015-9bac-4884-af2e-4c49bd9a51ae	224	chr2	156	0.9873417721518988	156	0	2	0	66	0	0
e25d0381-89d4-46d8-ab1d-d8c998cb623c	1019	chr2	1024	0.9727361246348588	999	8	3	17	9	0	0
2bc4d085-3b12-4ff7-9296-32d2d14ce7cf	1678	chr2	1673	0.9875296912114014	1663	4	11	6	0	0	505
8f1a7296-e31b-4a0b-b5af-53793bfd14a6	860	chr2	824	0.9879372738238842	819	3	5	2	33	0	623
b83d2e74-d71a-44d6-84ae-de19683bce15	508	chr2	506	0.9881889763779528	502	3	2	1	1	0	4072
9b76beb2-63d0-4653-b230-7d7666aa45d5	434	chr2	365	0.9945205479452055	363	2	0	0	69	0	4216
c2ba5e9e-f687-455f-862f-40c9aa79078e	371	chr2	364	0.9642857142857143	351	5	0	8	15	0	4213
704d66f2-8ad1-4f17-8372-2d0a30862363	516	chr2	502	0.9920318725099602	498	0	0	4	18	0	4072
b3817054-f692-43c0-87cd-f825fa8558fe	653	chr2	655	0.9938931297709923	651	2	0	2	0	0	3909
edbb08ea-bc6d-4d0c-8d0d-e2bae21be346	672	chr2	660	0.9833836858006042	651	4	2	5	15	0	3909
4c4d4b1b-dce1-44eb-833c-cc59ae128d60	658	chr2	653	0.9908396946564886	649	3	2	1	4	0	3909
d90692cd-b7f7-40d4-aa9a-fbadda256638	645	chr2	644	0.9845440494590417	637	5	3	2	0	0	3909
d74b8dc9-edb4-46df-a44d-a5f100447e71	332	chr2	326	0.9938650306748467	324	2	0	0	6	0	4216
6c2ac99b-de97-4ee9-b70b-7924ee5a765c	634	chr2	636	0.9766355140186916	627	1	6	8	0	0	3909
5442daeb-c531-4972-a716-6b5838d654dc	611	chr2	614	0.9854132901134521	608	0	3	6	0	0	3915
